"cluster","x","grp","y"
"7",-0.557268435947053,"b",7
"7",-0.301790897964473,"b",2
"8",1.62185239248981,"a",6
"8",-0.0226062781544835,"a",2
"8",-1.20206896685907,"a",0
"8",-1.39830657474449,"a",0
"8",-0.645999866224664,"a",0
"8",-0.465509836588531,"b",3
"8",0.460629116381208,"b",4
"8",-2.00223052497101,"a",0
"8",-1.51147906750964,"a",1
"8",-0.677044468878643,"b",3
"8",-0.692232707123444,"b",2
"8",0.39280482784153,"a",3
"9",0.584626458161518,"a",2
"9",-0.385634664041468,"b",0
"9",-1.45720720948443,"b",2
"9",0.244028835827055,"a",2
"9",-0.0124773956023766,"b",0
"9",0.964533526876019,"b",1
"9",-0.280271694202911,"a",5
"9",-1.35477663958463,"b",3
"9",0.432632214006047,"b",1
"9",-0.169757626365513,"a",0
"9",-0.18415846227626,"a",0
"9",-0.78507209801174,"b",0
"10",2.84085280367199,"b",2
"10",-0.276287718621273,"a",1
"10",-0.435911519679284,"b",1
"10",-1.28269639243138,"b",1
"10",-0.633042354615278,"b",0
"10",0.867158849599254,"a",10
"10",-1.56605639626409,"b",2
"10",1.61780385743179,"a",2
"10",1.44373189074849,"b",0
"10",-0.535804893919379,"a",0
"10",-0.0351032205488942,"b",0
"10",-1.41112793045718,"a",0
"11",1.93124709288233,"a",1
"11",-0.726921066210193,"a",0
"11",-0.617372945585309,"b",0
"11",-1.84111823514623,"a",0
"11",-0.725573586899511,"a",0
"11",1.05038494878972,"a",0
"11",-0.586290261787754,"b",0
"11",1.83106081594778,"b",2
"11",0.246514600959179,"b",0
"11",-1.37281387286828,"a",0
"11",-0.756603017195594,"b",0
"11",-0.734576481195751,"b",0
"12",-0.335934613117379,"a",0
"12",0.787942655779353,"b",0
"12",-0.0962924666324567,"b",1
"12",0.871509447968949,"b",1
"12",0.845644186920155,"b",1
"12",0.10078695415621,"b",0
"12",-1.05539840269974,"a",0
"12",1.40232276096581,"b",3
"12",-0.758215995457,"a",0
"12",-0.614817042841456,"b",2
"12",-0.412887696728684,"a",1
"12",0.320439341701834,"b",0
"13",-1.31300647590458,"b",1
"13",-0.693554223266051,"b",0
"13",-1.20121416446303,"a",0
"13",-0.79428054757364,"b",2
"13",0.0536094131760678,"a",0
"13",-1.52382973653897,"a",0
"13",-0.475057855732721,"b",10
"13",0.186566378558449,"a",7
"13",-0.135578172124348,"a",0
"13",-0.440105536708674,"b",2
"13",-0.881850176276147,"b",0
"13",-1.60584344199067,"b",0
"14",-0.725614881018233,"a",0
"14",1.46148585977244,"a",2
"14",0.370277339791525,"b",1
"14",-0.0300737888202046,"a",2
"14",0.0374057866850706,"b",3
"14",-0.979709697894052,"b",1
"14",-0.153252791252074,"a",0
"14",-0.612200156398404,"b",1
"14",0.457144702575939,"a",3
"14",0.136024508889453,"a",0
"14",-0.634251880638769,"b",3
"14",-1.4995537777791,"b",0
"15",-0.555202700339331,"b",1
"15",-0.54090130984956,"b",4
"15",0.0297748843317489,"b",1
"15",-0.114683357064071,"a",2
"15",1.47044388808097,"b",7
"15",0.405149184148776,"b",0
"15",0.432476697171089,"a",0
"15",0.298031697033259,"b",1
"15",0.988760147946205,"b",2
"15",-0.969355228204034,"a",1
"15",-0.484458734162481,"b",1
"15",-0.232748601592666,"b",2
"16",1.83481295967781,"b",9
"16",1.54496948043361,"b",2
"16",-0.766285048882315,"b",0
"16",-0.463968510114379,"a",1
"16",0.763836225239783,"a",0
"16",-0.716043236760431,"a",0
"16",-1.86586945338671,"b",0
"16",-1.50970917797013,"b",0
"16",-0.53371196997446,"b",1
"16",-1.28311319561151,"a",1
"16",0.74945272488053,"a",0
"16",0.0833538790614639,"b",2
"17",-0.0340136941105944,"a",0
"17",-0.295478693275609,"b",0
"17",-0.575262226579283,"b",0
"17",-1.08234729613291,"a",3
"17",1.41035032336741,"b",6
"17",-0.757872013406807,"b",0
"17",0.348856658269353,"b",2
"17",-0.302756671960698,"b",1
"17",-0.0477768650429048,"b",3
"17",1.09168768231302,"b",0
"17",-1.12521357799167,"b",0
"17",-0.112003880312652,"b",1
"18",-0.0845379047513499,"b",2
"18",0.617052035388123,"a",0
"18",0.777215727905613,"a",0
"18",-1.22680737999257,"a",1
"18",-0.807125612720622,"a",0
"18",1.48230903884954,"a",0
"18",0.386406028078263,"b",3
"18",-0.146010006257285,"b",0
"18",0.0113888184851208,"b",1
"18",-2.57926864638942,"a",0
"18",-0.322549505100888,"b",2
"18",-0.345119677590812,"a",1
"19",0.86387463955582,"a",1
"19",0.923085482328815,"b",8
"19",0.66854081187607,"a",2
"19",-1.82994227191837,"a",0
"19",-2.8634216162362,"a",0
"19",2.05104997229498,"b",1
"19",-0.285952928250795,"b",1
"19",0.0884626290631459,"b",0
"19",-0.608575899333743,"a",2
"19",0.011750922916833,"b",0
"19",0.0190236145384439,"b",1
"19",-1.24193584133282,"a",2
"20",1.26938084610334,"a",3
"20",-1.49158919711516,"b",0
"20",-2.12119825898247,"a",1
"20",-0.043756514819934,"b",1
"20",-1.26562967208249,"b",0
"20",0.645998767255566,"a",0
"20",0.139896294743643,"a",0
"20",1.54921079545013,"a",0
"20",-0.0713817974359633,"b",3
"20",-0.63822853008659,"b",0
"20",-2.00449188024363,"a",0
"20",-0.359652954452645,"a",1
"21",1.34007308997837,"a",0
"21",-0.170228333648442,"a",0
"21",-0.33977057782128,"a",1
"21",1.28044387261055,"a",5
"21",0.219467529647419,"a",1
"21",-0.629747790824445,"b",6
"21",1.10279213005817,"a",7
"21",-0.93231613633541,"a",1
"21",-1.45138085704676,"b",4
"21",1.07227872954819,"b",12
"21",-0.389555723442677,"a",1
"21",1.19079947220528,"b",2
"22",1.14024602899813,"a",2
"22",0.728083186667765,"b",15
"22",3.21581835168186,"a",10
"22",-1.0071099174454,"a",0
"22",-1.23330642671005,"a",0
"22",-0.244926698455782,"a",5
"22",0.693917410924473,"b",6
"22",-1.24140542990485,"a",4
"22",0.821783489944076,"a",3
"22",1.09068655697039,"b",36
"22",-0.615241826731883,"a",2
"22",0.348217682413891,"b",10
"23",-0.768295697321952,"b",0
"23",-0.173330071760776,"b",0
"23",-2.34360249498038,"a",0
"23",-0.805582152185869,"a",0
"23",0.169287477814701,"b",3
"23",0.536246147566797,"b",1
"23",0.0699390760657857,"a",1
"23",1.6608205284662,"a",2
"23",-0.136985144370654,"b",0
"23",0.581633962588408,"a",0
"23",-0.261578134532358,"a",1
"23",1.45922781217798,"b",6
"24",1.26112784196565,"a",2
"24",0.401447728081503,"b",4
"24",0.663912554756711,"a",2
"24",-0.417467943664083,"a",1
"24",1.2648737422797,"a",3
"24",0.676252515288753,"b",5
"24",-1.27962975806452,"a",0
"24",-0.0197703408768619,"a",3
"24",0.40785071183911,"b",0
"24",0.808905183336289,"b",1
"24",0.686757141688582,"a",2
"24",-1.77528923163445,"a",0
