"y","x","g"
1,1.29678299350088,"10"
1,-0.250380422719561,"10"
1,1.62992571652952,"10"
1,-0.69631168125815,"10"
0,-0.914092428429573,"11"
1,0.291754143742816,"11"
1,-1.21519958494798,"11"
1,1.3504008490547,"11"
1,-0.0835500414125158,"11"
0,0.0360769908569206,"11"
0,-0.531247584640179,"11"
0,1.60820672312282,"11"
0,-0.422087208970633,"12"
0,-0.918299211967373,"12"
1,-1.67566631559395,"12"
1,-1.03329895252778,"12"
0,1.1186633420302,"12"
0,-0.949924282951951,"12"
1,-0.616351318619813,"12"
0,-0.602398769484945,"12"
0,-1.09836569374793,"13"
0,-0.166888825592502,"13"
0,-0.369971302683667,"13"
0,0.372054279185886,"13"
0,0.698690277412346,"13"
0,0.549598992777402,"13"
0,-0.380826266256516,"13"
0,0.851808706964213,"13"
1,1.12207762277596,"14"
1,0.859545223974127,"14"
0,-0.48842042363196,"14"
0,-0.498954864343102,"14"
1,0.917188184529889,"14"
1,-0.169279922153368,"14"
0,0.857924424954592,"14"
1,-0.586146353168936,"14"
1,0.866540868657049,"15"
0,-1.35083898419454,"15"
0,-1.17477091222755,"15"
0,-0.358628363066437,"15"
0,0.0363583391946934,"15"
0,0.00472233311626395,"15"
1,-1.36853937778721,"15"
0,0.628105436438541,"15"
1,0.427477154526245,"16"
0,-0.391872743791581,"16"
0,-0.365654989293947,"16"
1,-2.81251992634399,"16"
1,-0.0178147945817456,"16"
1,2.40139424587304,"16"
0,1.49232799074647,"16"
1,-0.909138060512599,"16"
1,0.657817403719965,"17"
0,0.595359842111506,"17"
1,-0.620395589187357,"17"
1,1.56632065574787,"17"
1,0.761524102825329,"17"
0,0.0360798684249087,"17"
0,1.31088801629185,"17"
1,-0.587122252770553,"17"
0,-0.3523403390446,"18"
0,-2.52080873719917,"18"
1,-1.22117063064471,"18"
0,-0.381535074754509,"18"
0,-0.37529642639137,"18"
0,0.26788974637341,"18"
1,-0.0690737756224784,"18"
1,-0.94291052978393,"18"
0,0.509635605340967,"19"
0,-1.47210766587015,"19"
1,0.960296265761033,"19"
0,0.582319341566807,"19"
1,0.167843477375392,"19"
0,-0.464303914527439,"19"
0,1.13690172098679,"19"
0,-1.17179242314162,"19"
0,-1.50612155928812,"20"
0,0.51615174438775,"20"
0,-1.60484655872973,"20"
0,-0.70293844536363,"20"
1,0.334255212434955,"20"
0,-1.16605288264027,"20"
1,-0.504321713627838,"20"
0,-0.345545262666923,"20"
0,-0.974935867145562,"21"
1,-0.212561432603466,"21"
0,-0.441794987229154,"21"
1,-0.425081800584349,"21"
1,-0.755897948060228,"21"
1,1.16794491831896,"21"
1,-0.161900298382537,"21"
1,0.775369428346238,"21"
1,-0.259880046774056,"22"
0,-1.39752130628993,"22"
1,-0.601459962597515,"22"
1,0.669479994156213,"22"
1,-1.54358534451105,"22"
0,1.01243654546772,"22"
1,0.252686614525065,"22"
1,-0.0102834740420403,"22"
0,-3.0660684637418,"23"
0,-0.578882903227928,"23"
0,0.357667026381536,"23"
0,-1.34284108421054,"23"
0,2.53933060952079,"23"
0,0.396341639670744,"23"
1,1.66936540156576,"23"
1,1.6440459854393,"23"
0,0.159932307363058,"24"
0,-0.164430561187333,"24"
0,0.683704827990703,"24"
1,0.181145141353625,"24"
1,-0.225796043317951,"24"
1,1.10841994322985,"24"
0,-0.733703016636586,"24"
0,-2.47860782678246,"24"
1,0.359364593114971,"25"
1,-0.525652050622685,"25"
1,0.30737624114674,"25"
1,0.697646895073722,"25"
1,-0.771432280267787,"25"
1,-1.39243876089406,"25"
0,-0.929771219887747,"25"
0,-1.37403064644211,"25"
1,0.00256277825883438,"26"
1,-1.22609099272571,"26"
0,0.01221581122462,"26"
1,-0.980780465571311,"26"
1,0.0277286016409255,"26"
1,0.690134781354477,"26"
1,0.460655387152156,"26"
1,0.695324442857508,"26"
0,0.7600964672956,"27"
0,2.06269348483147,"27"
0,1.08734520405426,"27"
0,-0.175644644502486,"27"
0,-0.668341915572979,"27"
0,-3.01423291950994,"27"
0,0.536129366056406,"27"
0,1.17025259681986,"27"
1,-0.0502529971712393,"28"
1,0.996820987663644,"28"
0,1.6558329293271,"28"
0,-1.21736367474428,"28"
0,0.536863292972522,"28"
0,-0.974467860999656,"28"
1,1.54918022578902,"28"
0,-0.214150366406168,"28"
1,1.41670814084104,"29"
1,0.794396648870603,"29"
1,-0.578105704971715,"29"
1,-0.552596198138751,"29"
1,-0.28867507133243,"29"
0,0.640522994911837,"29"
1,-0.974234005557042,"29"
1,-1.85673619395047,"29"
1,-0.40349327842969,"30"
0,-0.198898134255624,"30"
0,-0.988041272264258,"30"
1,2.69352554431843,"30"
1,0.118415280344731,"30"
1,1.06176406105426,"30"
0,-1.11311778606563,"30"
0,-0.290744744434279,"30"
0,-0.132663154103206,"31"
1,0.603263236784228,"31"
1,0.758097346728984,"31"
1,-0.799338731562096,"31"
1,0.0972477650892373,"31"
1,0.360927346217645,"31"
1,-0.729248002789445,"31"
0,-0.0869537324155975,"31"
1,-0.0215572353034339,"32"
1,-0.307585074027467,"32"
0,0.0800913562228776,"32"
1,-0.922859108806318,"32"
0,3.35431054004795,"32"
1,-1.40699791333895,"32"
1,-0.403347275235023,"32"
0,0.280915892911398,"32"
0,-1.2835306261816,"33"
1,0.436899069438857,"33"
1,0.275578935476605,"33"
1,-0.510912374446585,"33"
1,1.42274942461779,"33"
1,0.425859172577871,"33"
1,-0.401780390728884,"33"
0,-0.0855857294293597,"33"
0,-1.1546886132109,"34"
0,-1.77317471590943,"34"
0,1.06834214589554,"34"
1,0.443588297622071,"34"
1,1.12160254961582,"34"
1,2.34981515808711,"34"
1,-0.309934279491952,"34"
1,0.948851170106177,"34"
0,-3.04215511097638,"35"
1,-1.78098683115237,"35"
1,1.10012218647485,"35"
0,-0.999487456614725,"35"
1,0.12813964084016,"35"
0,-0.133248462491715,"35"
1,-1.03175256278921,"35"
0,-1.01578614775685,"35"
1,-0.166862538312163,"36"
1,-0.844775269715349,"36"
1,0.676199884258024,"36"
1,-0.0241613189385548,"36"
1,0.100386680004253,"36"
1,-0.345119040271958,"36"
0,0.673385689268126,"36"
1,-1.14731131031053,"36"
0,-0.565027899077999,"37"
0,-0.395258980486684,"37"
0,-1.16191577710152,"37"
1,0.8519930288565,"37"
0,0.498528508688793,"37"
1,-0.806671232759894,"37"
1,-0.963364137586556,"37"
1,1.44429873508356,"37"
1,-0.579345235879984,"38"
0,-0.82953022333733,"38"
0,-1.62324973154435,"38"
0,-0.953217118918693,"38"
0,-0.420486824198105,"38"
1,1.64634221186821,"38"
1,1.22217032053804,"38"
1,0.692765780786412,"38"
0,0.378831000938974,"39"
1,0.178794117549814,"39"
0,0.747630663181978,"39"
0,1.15915770445964,"39"
0,0.831278384927797,"39"
0,0.774328188720666,"39"
0,0.057068379222336,"39"
1,-0.287813577859832,"39"
1,0.795490761232075,"40"
0,-0.236183017167339,"40"
0,0.454770621880523,"40"
0,-0.330477983783572,"40"
0,0.107757802175396,"40"
0,-0.0492952992001343,"40"
1,-0.106093245580434,"40"
0,-1.23904299790128,"40"
1,0.711682975515167,"41"
1,0.717793883765147,"41"
1,0.260131877545488,"41"
1,1.42877793120831,"41"
1,1.17524035332478,"41"
1,-1.27183658654203,"41"
0,-1.26249893062199,"41"
0,-0.4384257111915,"41"
1,0.518390453407339,"42"
1,-0.988332009792622,"42"
1,0.580331578501461,"42"
1,0.48099018197161,"42"
0,0.360743706165762,"42"
0,-1.47503878807944,"42"
1,0.150895720255506,"42"
1,-0.163469953646578,"42"
1,-0.627182970255522,"43"
0,-0.297322947634711,"43"
1,1.55553936417378,"43"
1,-0.669764499563903,"43"
1,-0.227732673002448,"43"
1,-0.231335455286969,"43"
1,-2.19503585709254,"43"
1,-0.867378805815191,"43"
0,-0.173168792777646,"44"
0,0.837845975066877,"44"
0,-0.777791911261402,"44"
0,-0.314007763555067,"44"
1,-0.0425409240199971,"44"
0,0.0268015467557876,"44"
1,0.443362206800254,"44"
0,0.675873225709109,"44"
1,0.476271758749018,"45"
1,-0.0198537885415444,"45"
0,0.558102280476633,"45"
1,0.237638876726513,"45"
0,-0.691064539335843,"45"
1,0.960552509976164,"45"
1,0.192628858239235,"45"
1,0.300110521454522,"45"
1,-0.900104805981054,"46"
0,0.376207427922467,"46"
1,-0.225291886338863,"46"
1,-1.83667793528737,"46"
1,0.739059682062108,"46"
1,0.128669422682405,"46"
1,0.143765939878712,"46"
0,0.681126157903168,"46"
1,0.188090016421432,"47"
0,-0.808240861640069,"47"
1,1.07641440082604,"47"
0,-2.54238017439213,"47"
0,0.959437106040802,"47"
0,-0.291566491587944,"47"
1,-0.718972305067105,"47"
1,1.08147240343945,"47"
1,0.24599722654563,"48"
1,1.90960748082948,"48"
1,-0.782756658428392,"48"
1,1.36295537564621,"48"
0,-0.459629954503803,"48"
1,-1.07546788246786,"48"
0,0.866593139305751,"48"
0,-0.306413643240461,"48"
1,-1.16485066637482,"49"
1,2.1550871054082,"49"
1,-0.500121128650289,"49"
1,2.0822224668356,"49"
1,-0.514369954236075,"49"
0,-0.813386761090232,"49"
0,0.779316166478835,"49"
1,1.52844589227845,"49"
1,-0.940162244094433,"50"
0,0.0689278711089839,"50"
1,-0.955995343923179,"50"
1,1.29785658391217,"50"
1,0.153420009788462,"50"
1,-0.264427466479659,"50"
1,0.926034187144163,"50"
1,-0.327584022654312,"50"
1,0.621604493119617,"51"
1,-0.38091693327973,"51"
1,-0.110694969801027,"51"
1,-0.215381895351432,"51"
1,0.73666944911312,"51"
1,0.940851270333593,"51"
1,-0.124117013455614,"51"
1,0.263769682356402,"51"
1,0.0362192440748461,"52"
1,-0.788282621662968,"52"
0,-0.642081475912493,"52"
1,-1.44537298424907,"52"
1,0.335023725305777,"52"
1,1.07633739248031,"52"
1,-0.00967198681040598,"52"
1,0.565996830497843,"52"
0,-1.18152379000478,"53"
1,0.353094392716993,"53"
1,0.306617489541926,"53"
1,-0.450661199613856,"53"
1,-0.38571622906923,"53"
1,1.04085011687224,"53"
1,-1.32155197411834,"53"
1,-0.416902290419691,"53"
0,0.284767468429714,"54"
0,0.0154131041831131,"54"
1,0.70690532164426,"54"
0,0.363132387963788,"54"
1,-0.986758868489503,"54"
1,-0.234049734730493,"54"
0,2.42347806412433,"54"
0,-0.369493441313562,"54"
0,-1.55106218700909,"55"
1,0.155759054958459,"55"
0,-1.25386228734909,"55"
1,-0.0669615930949885,"55"
1,-0.190711538355564,"55"
1,-0.739139594806789,"55"
1,1.0868543787754,"55"
1,-0.304588635992645,"55"
0,0.605796476061601,"56"
0,0.166153016284601,"56"
0,-0.638217915907394,"56"
0,-0.36039952847902,"56"
1,-0.461530085956811,"56"
1,0.17983681943673,"56"
0,-0.990869786609944,"56"
1,0.563317635846697,"56"
1,0.54914968546247,"57"
0,-1.04686428307566,"57"
0,-0.69616928967269,"57"
0,-0.482575845471622,"57"
1,-0.279083495150245,"57"
0,-0.251454952866049,"57"
0,-1.20156203443846,"57"
1,-0.780707967025498,"57"
0,-1.59251801168561,"58"
1,0.390622548936438,"58"
0,1.08830193083452,"58"
1,0.559347023077916,"58"
0,0.0677355000987372,"58"
0,-0.826690000949502,"58"
1,-1.63769111327892,"58"
1,-0.843686006049122,"58"
1,-0.149633936047023,"59"
0,1.84240777933682,"59"
1,-0.813614644298741,"59"
1,-0.923923674979604,"59"
0,-1.8807373119896,"59"
1,0.636842443636746,"59"
1,0.207376336859515,"59"
0,-0.565579362786417,"59"
1,-0.530289216485579,"60"
1,-0.250773490869143,"60"
0,-2.65202368038009,"60"
1,0.194035399996399,"60"
0,0.180528760959673,"60"
1,0.458742433040522,"60"
0,-0.0163222254951799,"60"
1,-0.535252387935559,"60"
