"y","x","g1","c1","c2","c3","c4","c5","c6","c7"
0,-0.446940772261785,"3","3","6","3","7","2","7","8"
14,1.40871317806625,"4","5","4","1","3","1","1","3"
0,-1.84447051603324,"2","8","7","7","8","4","3","8"
0,-0.318266210280295,"5","5","6","1","1","2","1","5"
1,0.0708100065800947,"11","1","5","5","8","3","4","5"
6,0.950984858594518,"7","2","7","4","5","2","6","8"
0,0.559987166689137,"3","7","2","6","1","6","8","7"
0,-0.737052923135883,"4","7","3","4","5","6","2","6"
18,1.17650629802326,"8","5","4","7","5","4","8","6"
0,0.630247888162636,"7","7","5","6","7","7","5","1"
2,-0.369697940329556,"12","5","7","4","7","8","6","8"
0,0.859215577322151,"3","6","7","4","1","6","2","8"
0,0.947267294436687,"1","2","1","3","8","8","1","6"
0,-1.59556156625412,"1","5","8","8","5","4","6","1"
12,-1.01335361008951,"7","2","8","8","3","1","6","2"
11,-0.424867004408645,"11","6","5","3","2","4","1","8"
0,-0.635350753382918,"3","2","2","3","2","6","2","7"
53,1.07673276718392,"7","5","7","8","8","1","2","2"
1,-1.64232134231091,"12","6","7","2","6","3","2","4"
3,0.424538792348767,"11","7","8","7","6","1","4","3"
21,0.449248343473452,"6","6","4","6","2","5","1","6"
5,1.05620661771187,"1","4","1","5","1","7","6","4"
1,-1.39534096585839,"6","8","6","4","7","2","3","4"
0,-0.583937073987896,"6","4","5","3","7","4","7","4"
0,-1.6642225502629,"1","3","7","7","8","5","8","2"
3,-1.75879472404723,"7","7","2","1","5","2","3","2"
0,0.83738340083942,"9","1","7","3","1","8","8","2"
1,-0.828038512235275,"3","8","6","1","2","7","5","2"
27,-0.0457492528850637,"12","5","7","7","6","1","6","6"
2,-1.46698384788039,"4","8","8","4","7","3","4","6"
1,-0.415069744625947,"12","6","1","8","3","1","8","8"
0,-0.626508839308251,"8","6","2","7","8","8","8","2"
2,-1.40140157921114,"5","4","6","2","5","8","5","5"
0,-0.972887591303496,"3","8","7","2","6","3","4","7"
1,-0.346107660739243,"5","8","2","8","1","1","4","4"
0,-1.03866574559844,"10","3","7","8","3","8","6","4"
0,-0.864700982777848,"6","3","6","2","7","2","3","2"
0,0.308345448210593,"3","6","4","4","6","5","3","3"
25,1.11619662402812,"7","7","1","8","4","7","2","4"
1,-0.73187849688145,"6","7","7","4","2","4","4","7"
3,0.826797665317927,"6","6","5","3","5","4","6","3"
2,-0.149131239935905,"10","1","3","6","5","3","4","6"
0,-1.01150281227681,"2","6","7","6","6","6","2","5"
4,0.0241095951268509,"1","2","4","6","7","5","4","2"
0,-1.39563797907622,"6","3","7","6","3","8","5","3"
1,-0.798724865760987,"7","1","5","3","5","2","7","2"
8,0.741865226559665,"6","3","7","8","2","4","6","5"
1,-0.262061545271991,"5","6","2","2","3","7","1","6"
1,1.70420352415344,"6","2","8","3","8","1","8","5"
11,0.779209028197424,"8","1","3","5","6","6","2","3"
2,0.263259287341445,"2","6","8","7","3","6","2","4"
3,-0.561951328369073,"8","2","4","3","4","5","6","4"
0,0.285598754234913,"3","2","3","4","8","6","4","6"
0,-0.473671618154374,"11","3","1","8","1","3","3","7"
1,-0.471616976964914,"12","7","6","3","3","4","8","8"
0,-0.137095247723608,"4","1","4","1","4","2","6","5"
0,0.647575541999903,"9","5","5","2","6","6","2","6"
0,0.0442115451405113,"11","3","4","2","1","4","3","4"
4,-0.382875209262115,"8","3","5","7","2","8","1","8"
4,2.02850338965799,"6","2","5","8","8","5","6","2"
0,0.677584204926505,"1","7","1","3","5","4","5","5"
2,0.897344922879167,"5","2","8","2","7","8","4","8"
1,1.30580227939453,"5","1","4","6","1","2","6","5"
1,1.38739843663636,"4","6","2","2","3","2","1","2"
1,-0.218099519220036,"2","6","2","7","7","4","4","4"
1,-1.59129697028275,"11","3","1","1","4","7","4","6"
0,1.84425729768436,"3","7","8","7","8","7","5","5"
1,1.21481195754168,"9","5","5","7","7","4","2","4"
1,1.04742048298231,"9","7","3","3","6","8","4","1"
6,-1.13672048701692,"8","3","2","6","1","8","1","4"
0,0.067420073174208,"4","3","1","7","5","4","3","4"
0,-0.99244529960883,"2","2","5","8","6","3","8","2"
8,0.849222299035752,"11","5","5","4","5","8","1","5"
2,-0.209782955499728,"5","4","3","4","7","2","7","7"
7,-1.51745219630487,"7","8","8","3","7","8","1","8"
2,-0.939684204324217,"9","1","7","6","8","7","8","4"
0,0.105071986964185,"9","6","6","2","1","6","5","5"
0,0.251581250909326,"10","6","5","2","6","3","2","2"
0,-1.24069080494139,"7","8","4","6","1","1","2","4"
0,-2.20333094479455,"1","3","7","5","2","3","3","6"
0,0.125613636055459,"5","5","4","4","6","4","2","3"
3,0.285851130100855,"7","3","1","7","5","4","6","5"
5,0.905188986191679,"4","2","3","8","3","1","2","6"
10,-0.139574123771725,"4","2","8","8","5","1","1","6"
0,-1.58296788068343,"2","6","5","7","7","8","3","2"
1,-0.209928632248179,"9","5","3","1","7","6","6","1"
2,0.781955753153834,"9","2","5","2","2","1","8","6"
1,2.65838494486457,"5","1","5","1","6","1","7","1"
1,0.467958354746012,"11","8","2","3","2","5","8","3"
6,-0.393255468730317,"10","6","4","8","6","3","1","1"
2,0.270586326441364,"4","7","8","6","5","4","5","3"
0,-0.170171600460332,"9","4","2","3","6","2","2","3"
0,1.06109253094766,"7","4","1","3","8","3","5","2"
1,-0.133515406323366,"5","4","7","7","7","4","3","7"
2,-1.76908406234306,"5","4","1","7","3","2","3","8"
0,-0.351928319276371,"8","7","6","6","2","5","5","8"
1,1.55762007387934,"11","8","7","2","6","8","2","4"
6,-0.0779799523201065,"1","5","8","3","1","3","1","8"
3,-0.573811721051092,"12","6","1","7","6","5","1","2"
3,2.24245502331535,"1","2","8","7","6","6","6","1"
0,1.43768307874192,"11","8","7","4","7","5","8","5"
0,1.03684666300809,"10","3","5","5","5","6","7","8"
7,0.0301950560232698,"5","6","5","2","2","7","4","5"
0,-0.55081366153555,"2","5","2","7","1","7","2","4"
9,-0.659350885864426,"10","2","6","8","8","4","6","1"
0,0.118328606321223,"9","4","6","3","6","8","2","1"
1,1.48989589701784,"9","2","1","4","4","6","5","3"
3,-1.01968467947581,"11","5","8","5","5","4","3","3"
2,0.60710368906754,"5","2","2","5","5","1","6","5"
0,-0.807240408642976,"1","5","5","2","6","8","2","3"
9,0.822623557831493,"9","4","2","6","2","3","7","3"
2,0.190020070825236,"7","1","4","4","6","6","4","7"
0,-0.555851864460185,"3","4","4","3","7","8","5","2"
0,1.89045122162081,"5","1","8","2","2","6","6","3"
2,-1.46401506997183,"7","8","4","4","7","6","5","6"
0,0.625617889878503,"8","5","6","5","5","3","2","5"
2,-0.0370216976961492,"7","3","3","2","3","7","8","6"
4,0.477308254663699,"6","4","7","7","2","4","4","4"
4,0.624671553437441,"9","1","6","7","3","7","2","4"
0,-0.512422199275482,"8","6","2","6","6","5","5","1"
0,1.60188802034389,"9","1","7","1","6","5","4","3"
8,-0.918693409165934,"2","8","4","8","8","2","4","8"
1,-0.716228543271766,"12","5","6","6","4","7","2","6"
3,-0.0956045725224904,"8","4","4","6","8","2","6","2"
3,-0.352032883651188,"7","4","4","3","3","6","3","7"
1,-1.01558110894854,"10","5","5","3","7","6","3","3"
0,-1.44573839189319,"10","6","7","6","4","4","7","8"
0,0.180507330531668,"6","4","7","1","6","3","5","5"
1,-0.97396900470385,"6","3","1","6","4","1","1","3"
0,-0.112345006418719,"4","7","2","5","3","1","6","1"
1,-1.04076354199504,"2","6","2","3","3","7","3","3"
3,-1.81289157587614,"2","5","2","8","6","3","3","4"
2,-0.484497934189224,"7","7","8","7","5","4","8","8"
0,-1.81885177027555,"3","5","3","4","7","3","1","2"
1,1.72679845851359,"11","3","7","7","3","4","7","6"
0,-2.18314534338722,"10","7","2","7","5","6","3","5"
0,1.82961786076252,"3","6","3","3","7","3","5","8"
2,0.588041189557131,"5","1","6","3","6","4","2","5"
15,1.74215871895223,"4","6","6","1","3","7","7","8"
0,-1.20770921255411,"1","8","7","4","4","8","5","4"
33,-0.507444511008283,"7","8","3","1","6","6","8","1"
3,-0.338773725497589,"12","4","4","2","8","1","8","1"
1,-0.098368548515044,"11","1","4","4","5","7","1","7"
3,-0.488326147349185,"4","2","3","1","8","3","7","8"
0,-3.02950922812277,"7","2","2","2","8","8","6","6"
2,1.086788302794,"2","1","5","4","2","2","5","5"
2,-0.209520862304986,"1","5","5","8","6","6","8","2"
8,1.96870860172867,"4","4","7","1","3","1","4","2"
0,-1.01762602858541,"10","7","3","4","2","4","5","2"
4,0.809167839393498,"6","5","1","6","2","2","2","6"
0,0.273472355670531,"4","2","5","3","4","6","1","5"
2,0.750100477835022,"11","2","5","1","2","3","1","3"
0,0.579399086707971,"12","1","6","3","1","5","2","8"
7,0.0406566921506094,"12","4","2","1","7","7","3","3"
0,0.554542043896153,"2","7","2","1","7","8","8","1"
0,-0.461569410408309,"12","4","1","4","5","8","5","3"
0,0.223818841597543,"10","5","5","2","8","1","8","1"
2,-2.83190508625647,"11","1","3","1","6","5","6","4"
2,-0.658149264110978,"11","3","1","4","6","3","4","2"
1,0.39672272414775,"12","7","6","1","3","2","2","2"
10,1.64835214456992,"6","5","3","1","8","1","7","4"
2,0.429314587248843,"4","1","2","8","8","5","4","8"
0,0.00318145994399638,"9","3","2","8","1","6","7","3"
2,2.17990831878854,"9","1","8","3","3","5","8","6"
0,0.600331853385925,"8","1","6","5","5","1","4","5"
0,-0.68334605358673,"4","4","4","4","6","6","6","7"
19,0.491320282779209,"8","8","1","5","5","4","3","6"
0,-1.20716937779548,"9","7","2","6","3","4","3","8"
0,1.09128132956772,"11","6","1","8","8","4","8","7"
0,0.352137696860135,"9","6","5","6","5","8","7","4"
0,-0.966936125878733,"1","3","5","5","4","8","6","8"
2,0.766149284149855,"2","5","8","5","1","5","1","5"
4,1.48445701687944,"7","3","3","7","6","1","7","4"
0,-0.0516692394522448,"10","7","1","6","4","8","5","4"
1,0.299463808995071,"4","1","4","4","8","5","8","4"
0,-1.44826494022129,"9","6","5","6","1","7","8","3"
0,0.783481191566369,"1","5","6","2","5","5","2","1"
0,0.270809925600035,"10","6","4","3","3","3","2","4"
1,-0.478019163589469,"4","8","7","1","1","1","3","7"
4,0.175368474829384,"7","2","3","7","5","8","4","7"
1,-1.38235409540289,"2","4","4","1","1","4","5","1"
2,0.447981491439856,"3","5","4","6","8","7","5","4"
0,-0.728990066511288,"5","1","5","4","4","5","5","1"
3,-0.623191513179295,"7","8","6","6","8","7","3","4"
3,-1.03455253494869,"8","5","1","2","7","5","3","1"
0,-0.303770187520923,"6","1","5","6","8","3","4","3"
0,0.650941844970247,"9","4","7","8","3","6","3","2"
0,-0.854548189047649,"6","4","4","5","6","1","5","1"
16,0.966182201897044,"12","1","2","1","6","2","1","1"
4,-0.0993968639876688,"4","2","2","7","2","7","4","4"
8,0.0888333025830788,"11","2","2","8","6","3","6","4"
0,0.167531678764123,"2","7","6","5","6","5","4","2"
0,-1.62559609914436,"9","1","3","2","2","1","4","4"
1,0.322814876192788,"4","8","1","4","8","8","6","6"
2,0.464436197775068,"6","6","5","7","5","8","7","6"
1,1.26386002837517,"10","4","1","6","3","8","5","2"
5,0.957103812457402,"9","4","6","3","5","5","3","1"
6,0.434687342763198,"4","3","3","8","2","3","2","6"
0,-0.49713840473748,"11","3","7","5","7","7","2","7"
9,-0.884878069035832,"11","5","4","1","4","3","7","4"
0,1.27942148674045,"2","4","5","4","4","8","8","2"
1,-1.9767145708009,"8","7","5","8","6","3","4","4"
0,-0.898669676766423,"5","8","5","6","3","2","5","7"
2,0.796850513548314,"5","6","6","2","3","7","8","2"
6,0.144352798590322,"5","2","3","5","8","6","3","6"
0,-0.474628983642858,"1","7","5","3","6","3","3","6"
7,-0.3887109382034,"12","1","2","1","8","7","1","3"
1,-1.1653018733902,"11","4","7","5","4","5","7","1"
3,0.278879011679036,"7","5","7","4","3","8","4","3"
1,-1.22381968272931,"5","6","6","2","2","4","5","3"
0,-1.30277196396605,"9","8","4","3","6","3","3","2"
3,-0.329903537584949,"10","8","2","3","5","7","7","4"
7,2.36245227296538,"5","5","3","6","3","8","4","7"
0,-0.270719780825749,"4","4","4","2","8","1","5","2"
1,2.74151895143596,"2","6","2","4","7","5","3","5"
4,0.234866992812796,"10","3","4","7","3","4","4","2"
0,-1.76510300870568,"2","8","2","2","5","7","2","7"
13,0.871003488743104,"11","3","1","7","8","1","4","5"
19,1.71577363821514,"12","1","4","5","3","6","1","4"
0,-1.63751843325896,"10","3","7","2","7","5","3","1"
25,2.0335556228985,"12","2","8","5","3","3","1","6"
0,0.631569772918545,"3","5","5","4","8","1","4","6"
4,0.173994199306557,"1","5","7","8","8","1","2","6"
0,-0.231983418991759,"7","5","5","7","7","6","8","8"
0,-0.0930736615779425,"9","4","7","1","1","1","1","8"
2,1.37399914337511,"6","6","2","5","7","4","4","5"
1,-1.12637635266798,"8","8","2","6","1","8","6","3"
0,-0.374200038238122,"9","7","7","1","6","6","7","2"
3,0.561064775556143,"10","4","7","7","5","4","6","7"
0,-1.24729914788267,"6","8","1","4","2","4","6","1"
1,-0.514339367913185,"2","5","3","7","8","1","8","5"
8,-1.6687347607801,"8","2","8","5","7","6","1","3"
0,-1.22922145657963,"3","4","7","4","3","2","5","8"
0,-0.360165368967588,"9","8","1","5","3","2","7","6"
0,0.270044787070483,"4","4","2","2","4","2","3","7"
2,-0.702085712276899,"6","8","6","7","6","2","2","1"
3,0.503760819987742,"6","3","7","8","5","8","1","8"
1,-0.139075215504039,"2","8","5","3","1","1","8","3"
2,-0.120840444998836,"12","2","1","5","5","8","2","1"
0,0.0464385235359707,"2","4","2","3","4","5","5","4"
1,-0.965877772272031,"6","8","3","8","3","6","8","7"
14,0.737329868031515,"8","3","8","6","6","6","8","6"
2,-0.490912688796605,"3","7","8","1","6","6","1","7"
0,-1.44801955423481,"12","3","1","7","8","5","7","7"
2,-0.151086447013878,"10","5","7","3","8","1","3","2"
0,-0.0293459586974726,"2","5","4","5","1","3","4","8"
1,-0.177755735363988,"9","7","8","1","2","6","1","8"
0,0.474167171079633,"11","8","8","5","8","6","3","8"
0,-2.43926681099589,"6","7","5","7","8","2","2","8"
1,0.848592595872479,"9","3","2","3","5","3","1","3"
2,-0.00756402141718385,"8","4","8","3","8","4","7","2"
1,-0.917664914324385,"4","1","3","6","8","1","1","3"
0,0.301818671155667,"4","7","7","6","8","8","2","5"
2,-0.753658703138936,"5","6","6","1","3","6","6","2"
0,-0.17430611049587,"6","8","6","6","7","6","1","2"
0,-1.01100652325548,"8","3","2","1","5","5","4","8"
0,0.367806329311904,"11","7","2","1","3","5","4","3"
8,0.798730905374494,"11","7","4","7","2","7","8","2"
3,0.662383192249854,"7","1","2","4","4","2","7","4"
6,0.00520747208572704,"10","1","8","7","7","3","6","8"
1,0.644130642841725,"10","5","6","5","7","8","4","3"
39,2.48109242745152,"10","7","4","7","5","6","1","6"
0,0.211641121442654,"3","8","8","2","1","3","2","3"
11,1.09599202035029,"6","6","4","8","6","2","8","8"
1,-0.1189554639111,"7","6","7","2","7","6","5","1"
1,-0.487485232749381,"4","8","1","4","6","4","8","2"
3,-0.039545752653848,"11","3","3","7","8","2","5","8"
0,-1.24360717043254,"3","8","1","4","1","3","6","6"
0,-0.264794589707555,"2","3","4","2","6","8","5","5"
0,2.3927207069133,"6","1","7","5","4","7","8","1"
0,1.12757525418644,"6","6","2","5","4","6","4","3"
1,0.529328941828092,"9","1","2","1","1","3","4","8"
0,0.268500041945673,"2","4","1","5","5","7","6","7"
7,1.07198496719093,"11","1","8","1","1","2","6","1"
2,0.130592885915635,"6","3","4","1","7","2","1","3"
0,-1.31177127419827,"7","1","2","2","6","8","5","2"
0,-0.097445368981382,"2","3","2","6","8","5","4","8"
2,1.2863729176747,"7","8","1","7","3","8","7","5"
6,0.824264307625085,"1","2","7","1","4","1","2","4"
1,0.616752228755791,"10","8","5","4","4","6","5","6"
1,-0.380702501273504,"6","1","1","5","4","8","7","5"
8,1.78610376790188,"1","7","1","6","3","4","4","4"
4,-0.648462105100761,"10","2","4","1","3","3","1","8"
2,0.533875110509349,"9","4","6","6","2","8","3","7"
6,0.288470138015374,"4","4","1","7","2","2","6","4"
0,-0.960148292228075,"7","4","1","5","1","1","5","1"
8,0.144242646174066,"5","8","4","4","7","8","5","6"
2,0.644883040577264,"7","5","8","4","4","2","6","4"
1,-0.368167791738315,"2","6","2","7","8","8","8","4"
0,-0.191544750362778,"12","5","1","5","8","3","5","5"
1,0.0189187253503501,"9","4","8","1","7","2","7","1"
3,-0.575363497148871,"9","7","6","1","6","7","8","5"
4,-0.573897592523913,"6","5","6","8","3","5","2","6"
0,-1.13343716358646,"3","7","4","7","4","4","4","3"
3,-0.546560478134992,"10","5","7","5","1","4","3","4"
4,-0.920056606888187,"12","8","7","1","4","5","2","8"
1,-0.348520948117608,"1","8","1","6","8","1","7","7"
2,1.20700649978484,"3","4","6","8","3","6","4","5"
0,1.14487445402656,"1","2","1","5","7","8","3","1"
0,-1.46767143770746,"7","8","3","2","1","3","5","1"
6,0.377300468291817,"1","8","3","4","5","2","6","8"
2,-0.614040027668806,"12","3","1","7","1","6","1","3"
2,0.0680434387810478,"5","6","5","5","2","5","2","3"
0,0.823702661819052,"9","7","8","1","1","7","5","5"
3,-1.77076843517941,"11","2","8","3","8","4","1","7"
3,0.893982657131749,"3","5","8","5","8","5","1","6"
10,1.24704948588764,"12","4","3","7","5","1","8","4"
1,0.0340432594100953,"12","2","6","2","3","3","4","2"
2,0.0121843438471179,"2","2","2","6","8","6","4","7"
2,-1.06675181646233,"11","3","5","4","5","3","1","7"
1,0.187470711782058,"9","8","5","7","7","1","6","3"
3,0.403735735973666,"2","8","8","8","5","4","2","8"
1,-0.19634001410709,"4","4","4","6","4","2","2","7"
0,-1.14461886712574,"6","3","3","6","3","2","7","5"
1,0.247421978550618,"1","1","1","1","3","5","5","8"
0,0.329975259272255,"2","5","4","8","1","6","5","1"
0,-2.37134099424182,"1","3","5","4","4","7","7","4"
8,-0.00529655229807257,"8","4","8","7","7","1","7","4"
1,-1.66146991316826,"2","8","5","6","6","4","2","1"
1,0.57559461096635,"6","3","6","3","4","1","4","4"
0,0.876513924640206,"9","3","6","3","7","4","4","6"
0,-2.06418284778699,"4","3","5","1","5","4","1","1"
0,-0.311205002405447,"8","7","1","7","3","5","8","4"
0,0.285851741166172,"10","6","7","8","3","8","5","2"
0,0.545797528880334,"11","5","7","5","8","1","4","1"
0,-2.09109233726356,"7","4","5","5","4","2","4","6"
3,-1.54039899461413,"8","3","7","8","7","5","4","5"
0,-1.0925990851657,"2","4","6","7","6","2","2","4"
2,-0.568052932420098,"3","2","1","5","8","3","7","5"
1,0.557962145162078,"3","4","8","2","5","6","1","5"
0,-1.18232477912386,"5","1","1","6","3","7","5","3"
4,0.0333347337968102,"1","7","8","3","4","8","2","6"
1,1.1892851059701,"5","2","7","2","2","2","5","5"
3,-0.271038549659404,"3","5","8","1","1","5","6","4"
22,0.227088539040994,"8","6","2","8","2","5","6","5"
10,0.664291817840048,"11","1","3","3","8","8","1","6"
14,0.0581415274278497,"1","2","8","7","4","6","1","4"
1,-0.136110147501782,"1","3","7","5","1","1","3","2"
6,0.126472908988121,"4","2","6","3","2","2","2","5"
1,-0.851497382056605,"1","2","5","3","3","3","2","5"
0,0.665575771154887,"2","3","4","6","7","8","5","2"
6,-1.65021862703808,"10","3","6","1","6","8","5","6"
1,0.254991424391274,"10","2","7","4","4","4","2","4"
1,0.457054667007974,"4","6","4","7","5","4","4","5"
8,-1.09054051437814,"5","3","6","1","2","2","6","4"
4,-0.608923415894761,"8","2","5","4","2","3","4","2"
1,-1.5677861050355,"12","1","4","6","1","3","8","8"
20,0.600768887554655,"12","7","4","4","2","7","6","6"
1,-2.35429623236582,"1","7","6","2","3","6","6","5"
6,-0.113911375007114,"7","8","8","6","3","5","3","3"
