"incidence","size","x","g1","g2"
11,14,0.572747387179818,"4","11"
4,6,0.490576767772515,"10","2"
5,18,-1.63444181994556,"8","1"
8,18,-0.903537141781235,"8","5"
9,14,0.791426652845577,"11","9"
6,13,-0.364715146801524,"11","6"
4,7,0.314348748232637,"6","10"
3,15,-2.36526251560301,"5","5"
4,19,1.74224222651339,"2","3"
7,18,0.6018239678121,"14","3"
5,16,0.795200087961699,"3","10"
4,5,1.21296565856562,"8","11"
2,19,-2.36673759963612,"5","6"
14,16,-0.839037569046706,"5","3"
6,16,0.000245770747269827,"8","2"
1,6,-0.260572100136984,"13","12"
11,16,1.88272011723078,"6","12"
8,18,-0.479508192113109,"7","10"
3,7,0.949678480475794,"4","1"
5,13,0.0826546420141545,"15","12"
4,13,0.549039681811924,"2","4"
2,12,-1.309250855605,"15","1"
3,5,0.857810422598155,"7","9"
2,6,1.65192326147275,"9","3"
11,14,1.16770732043558,"5","10"
8,19,-0.899010964562703,"7","7"
16,20,0.0205239168028125,"5","1"
5,6,-0.439648376087351,"3","12"
5,16,-1.28577057803271,"7","8"
15,20,1.07585808093951,"7","6"
2,7,1.02464363532681,"2","10"
3,9,-0.728029509092468,"3","9"
5,13,-0.491508682296626,"3","1"
6,18,-0.958410894977345,"2","9"
4,9,-1.02488412403942,"10","2"
11,13,0.334746784258722,"10","11"
10,16,0.203873157368744,"4","6"
8,11,2.48402908207861,"14","7"
3,9,-0.261533790896099,"8","10"
3,8,2.01306582172287,"10","2"
18,18,1.03564871048523,"11","5"
6,11,0.135759334661034,"9","1"
0,17,-1.52076051654476,"14","4"
5,12,0.45521787217898,"13","2"
6,10,-1.79833722759042,"11","2"
0,18,-1.91565634507304,"15","4"
13,19,0.709764823872971,"7","3"
14,18,2.65920035171579,"10","8"
4,11,-0.385435522688569,"15","11"
9,9,-1.26690164606529,"9","3"
1,6,-0.280158082180721,"13","12"
12,13,1.75814890502644,"13","11"
3,6,0.177889561056398,"12","2"
11,11,1.09324885118872,"10","11"
7,8,1.44252161207057,"9","5"
17,18,1.57291421817284,"13","11"
7,20,-0.333531696292288,"7","5"
5,14,0.870584832107609,"2","8"
6,20,0.104293769517174,"13","4"
5,18,-0.104830147696182,"8","12"
5,13,0.542913192546797,"7","9"
0,8,-0.476320955008284,"4","8"
0,11,-2.1572651789138,"1","6"
8,17,0.722060987101034,"3","4"
3,7,-0.0326098519036021,"7","4"
13,18,0.306528959413745,"1","1"
3,10,-0.772652504129951,"3","1"
6,17,-0.100998572588542,"8","2"
7,11,-0.0414701090827618,"6","6"
11,15,-0.240708485311188,"13","11"
5,13,-0.0465299217406605,"8","4"
8,12,0.484499323824916,"11","3"
7,9,0.325880610588524,"4","5"
14,16,2.07491411431681,"2","11"
6,9,0.942969471068695,"11","8"
8,18,0.093096190458191,"15","7"
9,15,-0.534838190436292,"10","6"
2,10,-1.26165143979075,"13","4"
6,8,1.54181636655302,"6","8"
4,8,-1.18441972800244,"8","4"
9,14,-0.205981051533028,"5","2"
11,16,-1.39828657070399,"12","4"
3,7,-0.239473304948836,"1","12"
3,15,0.939279556005766,"15","4"
9,16,0.723997979520389,"11","1"
6,9,0.840465942442807,"7","9"
9,19,-0.175842867263523,"6","12"
1,7,-1.35040040339736,"14","2"
3,5,0.286053251934384,"2","8"
11,11,1.6403836358835,"6","11"
7,8,0.411806234930048,"12","7"
5,7,0.1498125053725,"13","10"
8,13,-0.751494204996283,"12","8"
5,17,-0.663907329949488,"7","6"
3,6,-0.217635048543163,"4","3"
0,7,-1.08990386633727,"4","11"
2,8,1.96328585373411,"14","4"
4,13,-0.0157679469801107,"6","10"
6,6,1.91938442773192,"11","6"
9,10,0.407551486105523,"1","11"
8,18,1.0802397881889,"11","1"
7,17,1.16103139635227,"4","2"
14,19,-0.204943487010675,"2","3"
1,15,-1.58743486380891,"1","7"
15,18,0.547621084418181,"7","5"
17,19,-0.0858751179377382,"11","5"
4,17,-2.055613085935,"6","8"
1,6,-1.53566135531119,"3","3"
0,5,-0.98010940887958,"14","10"
0,9,-1.25219288865899,"13","4"
4,6,0.308045432800289,"10","8"
5,5,2.2072074472762,"3","5"
13,17,0.997903474562416,"3","7"
10,20,-0.856513700168497,"12","8"
11,13,-0.119071229718321,"12","5"
0,9,0.463694108143126,"15","2"
5,6,0.338663655181504,"10","7"
6,16,-0.914550197713977,"13","10"
4,12,0.086347018219536,"9","10"
2,9,0.346540189932162,"15","4"
