"incidence","size","x","g1","c1","c2","c3","c4","c5","c6","c7"
2,7,-0.691117097889613,"7","1","2","7","3","5","8","5"
2,11,-0.300707578973368,"12","6","2","2","7","4","8","5"
7,7,1.01405283405002,"10","7","2","4","4","3","6","1"
6,6,1.02665762828172,"4","6","7","5","8","7","7","5"
5,6,-0.097102085066382,"4","4","1","7","1","1","6","4"
6,8,0.480242476451403,"7","3","5","8","4","4","3","8"
14,15,0.515329488966315,"2","7","2","8","6","2","8","5"
13,13,1.42869042650981,"4","8","2","2","1","8","6","6"
1,15,-1.0173853557991,"12","2","1","2","1","6","8","3"
12,17,-0.353711103034741,"7","8","1","1","7","4","4","8"
15,20,1.52836223712647,"11","3","2","7","6","2","1","5"
11,13,1.44784565864667,"4","4","1","8","5","7","8","1"
9,16,0.383425594001392,"10","6","6","8","6","7","4","3"
17,18,0.101110617868321,"4","4","5","7","1","1","3","4"
10,13,0.728938000167382,"3","3","8","1","1","7","6","1"
8,11,-1.57362955583152,"10","5","4","3","8","8","7","4"
2,9,0.267629371118478,"11","6","8","7","8","4","4","7"
14,20,-1.22669413599802,"9","5","5","6","2","7","3","7"
6,8,2.05338517811954,"9","6","2","7","2","4","7","6"
3,8,0.163087841121524,"1","5","8","1","5","3","4","3"
5,8,1.0296330643997,"12","8","3","6","2","8","8","8"
12,13,0.890472000722337,"4","8","5","4","1","6","7","8"
5,16,-1.3462716323262,"11","4","6","5","3","6","1","8"
8,16,-1.51030775752005,"10","3","1","3","2","7","1","8"
11,17,-1.34368964533857,"7","1","6","8","8","8","1","1"
8,13,-0.880348010879489,"6","7","4","6","4","6","7","4"
16,20,-0.672175701889899,"10","1","7","8","8","3","4","4"
5,8,0.356989238811,"3","8","8","1","6","3","8","8"
1,16,0.22963244889919,"5","3","5","6","4","4","7","1"
5,16,-0.492158640746129,"12","8","1","3","6","4","6","2"
13,17,0.111551190068524,"11","8","4","5","6","6","3","8"
5,5,1.12780789874652,"6","8","4","8","2","3","8","4"
3,13,-0.284302929734065,"12","4","4","3","5","1","4","2"
14,15,0.628498528930331,"4","7","2","5","5","3","2","2"
5,18,0.408311240765498,"8","4","5","4","8","8","7","8"
4,6,-0.681841679897749,"7","1","8","3","6","8","5","7"
7,9,0.354654526377268,"4","2","6","1","8","4","4","6"
11,15,0.588265369234781,"11","8","3","4","5","4","8","2"
0,7,0.770919645090813,"12","5","3","7","3","5","5","3"
6,7,1.11590553563417,"2","6","2","6","2","4","3","4"
0,6,1.04152589429558,"12","3","4","6","4","7","8","1"
13,17,-0.662703996868518,"5","8","8","6","2","6","6","4"
11,12,-0.927795319722912,"4","5","1","2","5","2","7","1"
12,12,0.908456511107386,"2","5","2","6","4","1","3","5"
6,8,0.470374956404347,"7","3","3","8","4","1","2","5"
0,6,-0.563200064249579,"12","3","3","3","7","1","4","4"
11,15,-1.73407455614209,"5","7","7","7","8","6","5","4"
10,16,0.0296491299849359,"6","1","8","3","7","3","6","7"
12,17,-0.735403898616209,"8","2","2","1","5","7","4","1"
10,15,0.174769044357893,"10","7","4","2","3","7","6","3"
5,6,-0.645215679289177,"10","2","3","5","7","3","3","7"
9,14,-1.51087783444236,"11","3","4","1","4","7","1","5"
2,6,0.850679010620154,"7","2","4","6","1","5","4","6"
7,13,0.557362012946442,"9","6","2","3","5","4","4","3"
2,10,0.00207927011844647,"12","1","4","5","8","2","3","7"
6,7,-0.616578173484081,"2","5","1","5","2","8","8","4"
5,6,-0.614856151959537,"10","4","7","1","1","3","4","1"
2,9,-2.41573863395724,"6","2","2","1","7","8","4","2"
8,18,0.471781004738135,"1","5","1","5","7","6","8","2"
6,6,1.91516368267128,"4","5","3","5","8","1","5","1"
8,13,0.0714287374313689,"1","8","1","3","5","8","5","4"
1,9,0.283765541297903,"1","3","4","6","6","3","8","8"
12,14,-1.21544582549761,"4","1","4","1","5","4","4","7"
8,11,-1.3846948383971,"4","2","4","1","2","5","5","2"
9,17,0.840116498985237,"12","5","8","2","6","2","2","8"
8,9,-1.47223991315179,"10","8","2","6","7","4","3","5"
9,11,-0.105940516683498,"7","7","5","7","7","3","8","1"
6,8,-0.208258495965136,"1","2","4","4","3","3","6","5"
13,19,2.40833740273885,"10","8","1","1","1","6","6","7"
7,8,1.70345403104875,"2","3","3","5","4","8","6","4"
8,13,1.20597987366998,"6","5","5","4","4","2","6","3"
8,14,-1.18000401846475,"8","8","7","1","8","6","3","4"
10,10,0.85046547159215,"4","2","4","6","2","2","2","2"
0,12,0.0325439874475031,"12","4","8","6","5","5","4","8"
5,13,-0.152296317496369,"6","3","6","6","7","2","2","3"
12,17,-1.16793070193328,"5","1","5","8","5","1","1","3"
15,19,-0.0545319846364666,"11","5","4","3","2","6","6","4"
7,10,0.44678420870408,"12","7","2","6","6","7","4","3"
18,19,-0.590968810978668,"3","8","8","3","5","7","8","3"
1,9,1.5284972849845,"12","4","8","4","3","5","7","8"
12,18,0.718786007468801,"2","1","5","6","3","4","1","2"
4,14,-1.43497055344783,"6","5","7","5","6","5","4","6"
9,17,-0.70389212393146,"8","5","6","2","2","1","7","3"
9,12,0.344698759052124,"6","6","8","4","2","8","4","5"
10,13,-0.693574689354631,"7","3","2","8","8","5","3","1"
14,14,0.772872921294324,"6","7","7","5","6","3","1","4"
18,18,-0.646773233638226,"3","5","2","8","5","3","6","5"
4,18,-0.045988937350614,"5","3","1","8","6","8","8","6"
11,18,1.40361043329502,"6","2","8","6","8","5","2","4"
9,12,0.384345842782659,"1","3","7","5","8","8","6","8"
8,9,-0.042382214771224,"4","7","6","5","5","1","5","6"
6,16,2.10763907306095,"12","4","8","4","3","7","6","1"
4,7,-0.16814781520446,"1","3","6","7","8","7","2","4"
10,19,-0.0929517889537021,"3","3","2","2","7","5","5","8"
16,17,0.8141757601464,"4","2","5","4","1","1","2","3"
4,9,-2.14207655341058,"10","1","4","1","2","3","6","8"
8,9,-0.627384772968022,"5","4","3","2","5","3","3","7"
5,18,1.15742778412227,"10","4","5","6","5","5","8","6"
14,16,0.0310565380247933,"7","8","3","1","8","1","2","1"
18,20,-0.900503498425004,"7","2","8","8","6","2","4","4"
1,17,-1.6003126388917,"9","2","8","6","5","5","5","8"
8,8,1.35394133129889,"2","8","8","8","1","3","1","5"
5,7,-0.906425867283222,"4","6","5","3","1","1","1","6"
12,20,-0.247738620017187,"3","4","1","7","2","6","5","2"
7,11,0.223398398789386,"10","5","6","1","4","1","3","6"
1,6,0.645609060266563,"8","1","8","3","7","5","2","3"
15,17,-1.80033342585737,"5","8","8","7","2","8","6","4"
8,12,0.851234794083479,"2","3","4","4","6","3","4","5"
2,5,-1.27157506443476,"1","6","2","2","7","3","6","2"
9,10,0.227404550812887,"7","4","3","6","2","4","4","6"
4,5,-0.682083018741995,"5","1","2","1","5","2","5","2"
5,9,-0.682742762195541,"12","5","7","2","1","3","6","4"
2,7,1.05069397477487,"8","7","5","5","4","2","7","6"
11,11,-0.145564749998666,"1","8","3","3","2","7","1","6"
12,15,0.769334973657472,"1","1","3","3","2","8","1","4"
9,15,0.855764234118635,"9","5","6","3","2","3","7","1"
11,19,0.190880659731737,"11","5","4","4","4","3","2","3"
11,17,-2.2362053100156,"3","1","6","1","2","8","5","7"
11,15,1.27717238970033,"7","1","7","6","4","2","4","7"
14,15,-1.26073483279121,"11","2","4","4","2","2","1","1"
5,8,0.352241302053487,"5","8","6","5","3","3","6","2"
1,19,-1.27669074475145,"8","6","5","6","1","2","4","4"
12,14,1.63076708436992,"6","4","2","8","6","8","8","7"
5,6,0.766403119503261,"4","1","8","1","4","4","7","1"
12,16,1.96960918103069,"4","3","8","7","3","4","1","8"
6,13,0.447970107599427,"2","8","8","3","1","8","5","5"
8,11,0.495199758232689,"7","5","2","7","4","4","6","7"
4,9,-0.816405364485948,"6","5","5","1","6","4","6","6"
7,7,0.203437634611799,"7","6","7","3","4","2","7","8"
9,14,1.22426691550702,"5","4","8","7","4","3","7","6"
13,14,-0.915809525345157,"4","5","8","4","2","8","3","2"
7,18,0.553134354017379,"2","6","6","1","1","6","8","3"
6,8,1.81452145611127,"10","5","4","5","4","6","3","4"
4,12,-0.18963446300285,"5","2","8","2","3","6","6","1"
1,8,0.560039275384904,"6","3","6","7","8","5","5","8"
14,16,-0.129535898375242,"8","2","3","3","2","2","1","2"
3,6,-1.10450410938223,"10","7","7","4","5","1","7","3"
1,19,-0.650970358425551,"10","3","5","6","3","6","8","2"
6,12,0.778956156943445,"8","6","5","4","5","8","3","2"
7,7,-0.875517235082534,"3","2","2","1","3","6","1","6"
19,20,-0.165158314657088,"7","8","8","8","5","7","3","8"
19,20,0.757272718840277,"7","4","3","8","5","3","5","4"
4,6,0.574404238688858,"6","7","7","5","3","1","5","8"
5,7,0.623604828503412,"3","1","6","1","3","6","4","8"
10,12,-1.04005207053754,"7","5","5","8","2","2","6","5"
8,8,1.29344434962471,"3","2","4","2","8","6","1","2"
9,19,-0.0675215175669674,"9","4","7","5","3","8","2","6"
8,20,0.589681064286085,"8","2","5","8","4","1","6","8"
3,19,-1.64514169034361,"8","4","6","2","7","8","8","1"
16,16,2.01906810787783,"4","7","4","8","6","5","1","3"
4,8,-0.920123916229882,"2","8","5","6","2","1","1","6"
7,8,0.621567291055917,"7","6","8","8","5","1","3","5"
9,11,-1.01517543277308,"3","7","5","8","2","5","6","8"
6,19,-1.24077352223889,"5","3","5","4","6","3","7","8"
3,10,0.157141084170323,"11","1","5","7","7","1","8","3"
4,11,-0.758502532209638,"9","3","7","4","4","6","3","2"
7,20,0.103620020490073,"11","5","5","7","3","6","8","7"
5,11,-1.01780975549843,"4","3","3","1","1","6","7","7"
15,18,0.826495783554883,"1","8","2","4","3","8","4","6"
12,13,2.31092456207136,"6","8","7","3","8","3","6","7"
15,17,0.262747517050393,"4","1","5","1","8","6","1","1"
12,16,1.21268676777411,"5","1","7","1","7","6","7","8"
5,12,0.345290964845166,"9","6","2","1","4","4","3","8"
14,14,2.97614980263794,"9","7","8","5","6","2","1","1"
15,17,1.40269828312805,"1","8","4","3","1","7","4","6"
7,13,0.929060309221873,"2","3","2","6","2","1","6","6"
13,17,-0.386663979236391,"4","3","3","7","1","3","3","7"
5,7,-0.840760616788255,"7","4","7","8","1","7","5","6"
7,10,-0.98396584597545,"5","3","7","8","1","7","3","3"
2,5,1.30177284050895,"8","3","5","8","7","1","7","7"
